iter	Passed	Remaining
0	54	10828
1	54	5400
2	54	3592
3	54	2686
4	54	2143
5	55	1780
6	55	1521
7	55	1326
8	55	1176
9	55	1054
10	55	956
11	55	873
12	55	803
13	55	743
14	56	691
15	56	646
16	56	605
17	56	570
18	56	538
19	56	509
20	56	483
21	56	459
22	56	437
23	56	417
24	57	399
25	57	382
26	57	367
27	57	352
28	57	339
29	57	326
30	57	314
31	57	303
32	57	293
33	58	283
34	58	274
35	58	265
36	58	257
37	58	249
38	58	241
39	58	234
40	58	227
41	58	221
42	58	215
43	59	209
44	59	203
45	59	198
46	59	193
47	59	188
48	59	183
49	59	179
50	59	174
51	59	170
52	60	166
53	60	162
54	60	158
55	60	155
56	60	151
57	60	148
58	60	145
59	60	141
60	60	138
61	61	135
62	61	132
63	61	130
64	61	127
65	61	124
66	61	122
67	61	119
68	61	117
69	61	115
70	62	112
71	62	110
72	62	108
73	62	106
74	62	104
75	62	102
76	62	100
77	62	98
78	62	96
79	63	94
80	63	92
81	63	91
82	63	89
83	63	87
84	63	86
85	63	84
86	63	82
87	63	81
88	64	79
89	64	78
90	64	76
91	64	75
92	64	74
93	64	72
94	64	71
95	64	70
96	64	68
97	64	67
98	65	66
99	65	65
100	65	63
101	65	62
102	65	61
103	65	60
104	65	59
105	65	58
106	65	57
107	65	56
108	66	55
109	66	54
110	66	53
111	66	52
112	66	51
113	66	50
114	66	49
115	66	48
116	66	47
117	67	46
118	67	45
119	67	44
120	67	43
121	67	43
122	67	42
123	67	41
124	67	40
125	67	39
126	67	39
127	68	38
128	68	37
129	68	36
130	68	36
131	68	35
132	68	34
133	68	33
134	68	33
135	68	32
136	69	31
137	69	31
138	69	30
139	69	29
140	69	29
141	69	28
142	69	27
143	69	27
144	69	26
145	69	25
146	70	25
147	70	24
148	70	24
149	70	23
150	70	22
151	70	22
152	70	21
153	70	21
154	70	20
155	71	20
156	71	19
157	71	18
158	71	18
159	71	17
160	71	17
161	71	16
162	71	16
163	71	15
164	71	15
165	72	14
166	72	14
167	72	13
168	72	13
169	72	12
170	72	12
171	72	11
172	72	11
173	72	10
174	73	10
175	73	9
176	73	9
177	73	9
178	73	8
179	73	8
180	73	7
181	73	7
182	73	6
183	73	6
184	74	6
185	74	5
186	74	5
187	74	4
188	74	4
189	74	3
190	74	3
191	74	3
192	74	2
193	75	2
194	75	1
195	75	1
196	75	1
197	75	0
198	75	0
199	75	0
